Strike,High,Low,Last,Change,Bid,Ask,Volume,"Open Int",Premium,"Last Trade"
65.000C,2.77,2.18,2.31,-0.965,0,0,16,490,1386,12/02/22
65.000P,3.055,1.865,2.09,-0.1,0,0,4110,7365,1254,12/02/22
65.500C,2.045,1.9,2.045,-0.925,0,0,26,13,1227,12/02/22
65.500P,2.41,2.325,2.325,-0.06,0,0,1,164,1395,12/02/22
66.000C,1.8,1.8,1.8,-0.88,0,0,100,198,1080,12/02/22
66.000P,3.3,2.25,2.575,-0.015,0,0,570,1097,1545,12/02/22
66.500C,1.57,1.57,1.57,-0.835,0,0,7,185,942,12/02/22
66.500P,3.275,2.85,2.85,0.035,0,0,326,2140,1710,12/02/22
67.000C,1.54,1.365,1.365,-0.78,0,0,846,478,819,12/02/22
67.000P,4,3.09,3.14,0.085,0,0,973,2418,1884,12/02/22
67.500C,1.175,1.15,1.175,-0.73,0,0,23,95,705,12/02/22
67.500P,3.63,3.09,3.45,0.135,0,0,50,209,2070,12/02/22
68.000C,1.27,0.93,1.005,-0.68,0,0,617,101,603,12/02/22
68.000P,4.55,3.205,3.78,0.19,0,0,769,1694,2268,12/02/22
68.500C,1.135,0.81,0.855,-0.625,0,0,38,36,513,12/02/22
68.500P,4.605,4.13,4.13,0.245,0,0,25,205,2478,12/02/22
69.000C,0.84,0.725,0.725,-0.57,0,0,47,271,435,12/02/22
69.000P,4.495,4.495,4.495,0.295,0,0,129,931,2697,12/02/22
69.500C,0.885,0.52,0.61,-0.52,0,0,47,221,366,12/02/22
69.500P,4.88,4.88,4.88,0.345,0,0,4,468,2928,12/02/22
70.000C,0.86,0.44,0.51,-0.475,0,0,1167,1008,306,12/02/22
70.000P,6.3,5.065,5.28,0.395,0,0,3865,6584,3168,12/02/22
70.500C,0.425,0.37,0.425,-0.435,0,0,204,605,255,12/02/22
70.500P,5.695,5.695,5.695,0.435,0,0,7,678,3417,12/02/22
71.000C,0.71,0.285,0.355,-0.39,0,0,256,846,213,12/02/22
71.000P,6.29,6.125,6.125,0.48,0,0,340,963,3675,12/02/22
71.500C,0.63,0.24,0.3,-0.35,0,0,503,337,180,12/02/22
71.500P,6.57,6.4,6.57,0.52,0,0,1,596,3942,12/02/22
72.000C,0.64,0.225,0.255,-0.305,0,0,259,1541,153,12/02/22
72.000P,7.02,7.02,7.02,0.56,0,0,31,1238,4212,12/02/22
72.500C,0.43,0.19,0.215,-0.27,0,0,44,536,129,12/02/22
72.500P,7.485,7.485,7.485,0.6,0,0,4,249,4491,12/02/22
73.000C,0.42,0.155,0.185,-0.23,0,0,153,436,111,12/02/22
73.000P,7.95,7.95,7.95,0.635,0,0,26,1710,4770,12/02/22
73.500C,0.315,0.155,0.155,-0.2,0,0,4,672,93,12/02/22
73.500P,8.425,8.425,8.425,0.675,0,0,8,798,5055,12/02/22
74.000C,0.36,0.135,0.135,-0.165,0,0,256,726,81,12/02/22
74.000P,8.95,8.75,8.9,0.705,0,0,58,514,5340,12/02/22
74.500C,0.245,0.115,0.115,-0.14,0,0,109,302,69,12/02/22
74.500P,9.38,9.38,9.38,0.73,0,0,,98,5628,12/02/22
75.000C,0.22,0.1,0.1,-0.115,0,0,48,1684,60,12/02/22
75.000P,9.865,9.865,9.865,0.755,0,0,16,216,5919,12/02/22
75.500C,0.175,0.085,0.085,-0.1,0,0,4,334,51,12/02/22
75.500P,10.35,10.35,10.35,0.77,0,0,,33,6210,12/02/22
76.000C,0.21,0.06,0.075,-0.085,0,0,78,1692,45,12/02/22
76.000P,10.84,10.76,10.84,0.79,0,0,1,156,6504,12/02/22
76.500C,0.085,0.055,0.065,-0.07,0,0,25,316,39,12/02/22
76.500P,11.33,11.33,11.33,0.8,0,0,,2,6798,12/02/22
77.000C,0.11,0.05,0.055,-0.06,0,0,146,682,33,12/02/22
77.000P,11.82,11.82,11.82,0.815,0,0,,20,7092,12/02/22
77.500C,0.045,0.045,0.045,-0.05,0,0,,583,27,12/02/22
77.500P,12.31,12.31,12.31,0.82,0,0,,2,7386,12/02/22
"Downloaded from Barchart.com as of 12-03-2022 12:08pm CST"
