Strike,High,Low,Last,Change,Bid,Ask,Volume,"Open Int",Premium,"Last Trade"
57.500P,0.345,0.345,0.345,-0.03,0.38,0.4,1,48,207,12/21/22
58.000C,7.21,7.21,7.21,-0.0099999999999998,6.265,6.41,,,4326,12/21/22
58.000P,0.455,0.455,0.455,0.055,0.44,0.465,3,629,273,"10:17 CT"
58.500C,6.77,6.77,6.77,-0.015000000000001,5.84,6.01,,,4062,12/21/22
58.500P,0.515,0.515,0.515,0.05,0.51,0.54,21,97,309,"07:16 CT"
59.000C,6.345,6.345,6.345,-0.015000000000001,5.43,5.595,,,3807,12/21/22
59.000P,0.595,0.595,0.595,0.06,0.595,0.62,5,119,357,"07:14 CT"
59.500C,5.925,5.925,5.925,-0.02,5.025,5.18,,,3555,12/21/22
59.500P,0.685,0.685,0.685,0.07,0.69,0.715,5,68,411,"07:14 CT"
60.000C,5.52,5.52,5.52,-0.025,4.635,4.81,,58,3312,12/21/22
60.000P,0.745,0.745,0.745,0.035,0.8,0.825,5,901,447,"09:21 CT"
60.500C,5.13,5.13,5.13,-0.025,4.265,4.415,,1,3078,12/21/22
60.500P,0.945,0.945,0.945,0.13,0.92,0.95,8,531,567,"11:39 CT"
61.000C,4.75,4.75,4.75,-0.03,3.93,4.07,,69,2850,12/21/22
61.000P,0.935,0.935,0.935,-0.05,1.06,1.09,20,1105,561,12/21/22
61.500C,4.385,4.385,4.385,-0.035,3.565,3.72,,209,2631,12/21/22
61.500P,1.07,1.07,1.07,-0.05,1.22,1.255,,1152,642,12/21/22
62.000C,4.04,4.04,4.04,-0.035,3.31,3.36,,1503,2424,12/21/22
62.000P,1.22,1.22,1.22,-0.055,1.395,1.435,20,473,732,12/21/22
62.500C,3.21,3.015,3.015,-0.695,3.005,3.06,59,168,1809,"12:12 CT"
62.500P,1.385,1.385,1.385,-0.06,1.595,1.635,,16,831,12/21/22
63.000C,3.035,2.925,3.035,-0.36,2.73,2.785,31,21,1821,"08:53 CT"
63.000P,1.57,1.57,1.57,-0.06,1.805,1.855,,973,942,12/21/22
63.500C,3.095,3.095,3.095,-0.04,2.44,2.535,,11,1857,12/21/22
63.500P,1.77,1.77,1.77,-0.06,2.045,2.09,,50,1062,12/21/22
64.000C,2.44,2.44,2.44,-0.38,2.205,2.285,33,181,1464,"06:13 CT"
64.000P,2.045,1.945,1.99,-0.06,2.3,2.355,30,296,1194,12/21/22
64.500C,2.555,2.555,2.555,-0.04,2,2.055,,404,1533,12/21/22
64.500P,2.23,2.23,2.23,-0.06,2.565,2.64,,1,1338,12/21/22
65.000C,1.82,1.82,1.82,-0.495,1.79,1.84,36,187,1092,"10:16 CT"
65.000P,2.52,2.48,2.48,-0.065,2.855,2.945,1,47,1488,12/21/22
65.500C,2.085,2.085,2.085,-0.04,1.605,1.65,,37,1251,12/21/22
65.500P,2.755,2.755,2.755,-0.06,3.165,3.26,,,1653,12/21/22
66.000C,1.65,1.65,1.65,-0.225,1.43,1.475,3,303,990,"02:03 CT"
66.000P,3.04,3.04,3.04,-0.065,3.48,3.585,,,1824,12/21/22
66.500C,1.685,1.685,1.685,-0.04,1.275,1.315,,222,1011,12/21/22
66.500P,3.35,3.35,3.35,-0.06,3.8,3.945,,,2010,12/21/22
67.000C,1.33,1.33,1.33,-0.175,1.13,1.175,3,196,798,"06:48 CT"
67.000P,3.67,3.67,3.67,-0.06,4.185,4.24,,31,2202,12/21/22
67.500C,1.345,1.345,1.345,-0.04,1.005,1.04,,24,807,12/21/22
67.500P,4.005,4.005,4.005,-0.06,4.52,4.67,,,2403,12/21/22
68.000C,1.01,1,1.01,-0.19,0.885,0.92,5,29,606,"09:22 CT"
68.000P,4.355,4.355,4.355,-0.06,4.895,5.035,,,2613,12/21/22
68.500C,1.065,1.065,1.065,-0.035,0.78,0.815,,39,639,12/21/22
68.500P,4.72,4.72,4.72,-0.055000000000001,5.265,5.43,,,2832,12/21/22
69.000C,0.78,0.74,0.75,-0.195,0.69,0.705,23,124,450,"11:11 CT"
69.000P,5.1,5.1,5.1,-0.050000000000001,5.685,5.845,,89,3060,12/21/22
69.500C,0.835,0.835,0.835,-0.03,0.605,0.625,,19,501,12/21/22
69.500P,5.49,5.49,5.49,-0.05,6.085,6.25,,,3294,12/21/22
70.000C,0.59,0.53,0.53,-0.205,0.53,0.55,759,2165,318,"11:39 CT"
70.000P,5.89,5.89,5.89,-0.050000000000001,6.48,6.67,,30,3534,12/21/22
70.500C,0.65,0.65,0.65,-0.03,0.46,0.48,,21,390,12/21/22
70.500P,6.3,6.3,6.3,-0.05,6.95,7.125,,,3780,12/21/22
71.000C,0.57,0.57,0.57,-0.03,0.4,0.42,410,235,342,12/21/22
71.000P,6.72,6.72,6.72,-0.045,7.375,7.55,,,4032,12/21/22
71.500C,0.505,0.505,0.505,-0.025,0.345,0.37,,8,303,12/21/22
71.500P,7.15,7.15,7.15,-0.045,7.845,8.015,,5,4290,12/21/22
72.000C,0.39,0.295,0.295,-0.145,0.3,0.32,35,23,177,"10:13 CT"
72.000P,7.59,7.59,7.59,-0.04,8.28,8.47,,6,4554,12/21/22
72.500C,0.33,0.31,0.33,-0.055,0.255,0.275,9,105,198,"08:56 CT"
72.500P,8.03,8.03,8.03,-0.045,8.725,8.93,,27,4818,12/21/22
73.000C,0.29,0.225,0.225,-0.115,0.225,0.24,12,23,135,"10:13 CT"
73.000P,8.485,8.485,8.485,-0.040000000000001,9.19,9.395,,,5091,12/21/22
73.500C,0.255,0.235,0.255,-0.045,0.195,0.21,11,,153,"08:56 CT"
73.500P,8.94,8.94,8.94,-0.040000000000001,9.665,9.865,,,5364,12/21/22
74.000C,0.215,0.205,0.215,-0.045,0.165,0.185,12,6,129,"08:56 CT"
74.000P,9.405,9.405,9.405,-0.035,10.125,10.34,,,5643,12/21/22
74.500C,0.19,0.15,0.15,-0.08,0.145,0.16,6,,90,"10:14 CT"
74.500P,9.87,9.87,9.87,-0.035,10.6,10.815,,,5922,12/21/22
75.000C,0.165,0.16,0.165,-0.035,0.125,0.14,4,,99,"08:56 CT"
75.000P,10.34,10.34,10.34,-0.035,11.08,11.295,,,6204,12/21/22
75.500C,0.15,0.14,0.15,-0.03,0.11,0.125,5,26,90,"08:57 CT"
75.500P,10.82,10.82,10.82,-0.029999999999999,11.575,11.78,,,6492,12/21/22
76.000C,0.125,0.125,0.125,-0.035,0.095,0.11,2,,75,"08:56 CT"
76.000P,11.295,11.295,11.295,-0.035,12.07,12.27,,,6777,12/21/22
"Downloaded from Barchart.com as of 12-22-2022 12:28pm CST"
